r       ,Kf      ,Km      ,      Ky      ,      Kz      ,      PSI     
  0.1000,170.0000,150.0000,    150.169799,    150.181380,      0.009069
  0.1000,170.0000,170.0000,    169.999992,    170.000000,      0.009069
  0.2000, 20.0000, 20.0000,     19.999997,     20.000000,      0.036276
  0.2000, 20.0000, 30.0000,     29.568712,     29.637240,      0.036276
  0.2000, 20.0000, 40.0000,     39.045931,     39.274480,      0.036276
  0.2000, 20.0000, 50.0000,     48.471623,     48.911720,      0.036276
  0.2000, 20.0000, 70.0000,     67.238161,     68.186201,      0.036276
  0.2000, 20.0000, 90.0000,     85.943619,     87.460681,      0.036276
  0.2000, 20.0000,110.0000,    104.616479,    106.735161,      0.036276
  0.2000, 20.0000,130.0000,    123.269896,    126.009641,      0.036276
  0.2000, 20.0000,150.0000,    141.910787,    145.284122,      0.036276
  0.2000, 20.0000,170.0000,    160.543135,    164.558602,      0.036276
  0.2000, 30.0000, 20.0000,     20.291502,     20.362760,      0.036276
  0.2000, 30.0000, 30.0000,     29.999996,     30.000000,      0.036276
  0.2000, 30.0000, 40.0000,     39.588445,     39.637240,      0.036276
  0.2000, 30.0000, 50.0000,     49.103017,     49.274480,      0.036276
  0.2000, 30.0000, 70.0000,     68.000985,     68.548961,      0.036276
  0.2000, 30.0000, 90.0000,     86.798157,     87.823441,      0.036276
  0.2000, 30.0000,110.0000,    105.538354,    107.097921,      0.036276
  0.2000, 30.0000,130.0000,    124.243211,    126.372401,      0.036276
  0.2000, 30.0000,150.0000,    142.924640,    145.646882,      0.036276
  0.2000, 30.0000,170.0000,    161.589739,    164.921362,      0.036276
  0.2000, 40.0000, 20.0000,     20.488094,     20.725520,      0.036276
  0.2000, 40.0000, 30.0000,     30.311705,     30.362760,      0.036276
  0.2000, 40.0000, 40.0000,     39.999994,     40.000000,      0.036276
  0.2000, 40.0000, 50.0000,     49.599440,     49.637240,      0.036276
  0.2000, 40.0000, 70.0000,     68.631124,     68.911720,      0.036276
  0.2000, 40.0000, 90.0000,     87.527400,     88.186201,      0.036276
  0.2000, 40.0000,110.0000,    106.343408,    107.460681,      0.036276
  0.2000, 40.0000,130.0000,    125.107926,    126.735161,      0.036276
  0.2000, 40.0000,150.0000,    143.837446,    146.009641,      0.036276
  0.2000, 40.0000,170.0000,    162.542094,    165.284122,      0.036276
  0.2000, 50.0000, 20.0000,     20.629637,     21.088280,      0.036276
  0.2000, 50.0000, 30.0000,     30.547516,     30.725520,      0.036276
  0.2000, 50.0000, 40.0000,     40.322894,     40.362760,      0.036276
  0.2000, 50.0000, 50.0000,     49.999993,     50.000000,      0.036276
  0.2000, 50.0000, 70.0000,     69.160428,     69.274480,      0.036276
  0.2000, 50.0000, 90.0000,     88.157024,     88.548961,      0.036276
  0.2000, 50.0000,110.0000,    107.052524,    107.823441,      0.036276
  0.2000, 50.0000,130.0000,    125.881258,    127.097921,      0.036276
  0.2000, 50.0000,150.0000,    144.663595,    146.372401,      0.036276
  0.2000, 50.0000,170.0000,    163.412382,    165.646882,      0.036276
  0.2000, 70.0000, 20.0000,     20.819834,     21.813799,      0.036276
  0.2000, 70.0000, 30.0000,     30.880613,     31.451039,      0.036276
  0.2000, 70.0000, 40.0000,     40.797016,     41.088280,      0.036276
  0.2000, 70.0000, 50.0000,     50.606595,     50.725520,      0.036276
  0.2000, 70.0000, 70.0000,     69.999990,     70.000000,      0.036276
  0.2000, 70.0000, 90.0000,     89.189254,     89.274480,      0.036276
  0.2000, 70.0000,110.0000,    108.244236,    108.548961,      0.036276
  0.2000, 70.0000,130.0000,    127.206180,    127.823441,      0.036276
  0.2000, 70.0000,150.0000,    146.101006,    147.097921,      0.036276
  0.2000, 70.0000,170.0000,    164.945826,    166.372401,      0.036276
  0.2000, 90.0000, 20.0000,     20.941753,     22.539319,      0.036276
  0.2000, 90.0000, 30.0000,     31.104622,     32.176559,      0.036276
  0.2000, 90.0000, 40.0000,     41.128385,     41.813799,      0.036276
  0.2000, 90.0000, 50.0000,     51.044183,     51.451039,      0.036276
  0.2000, 90.0000, 70.0000,     70.636005,     70.725520,      0.036276
  0.2000, 90.0000, 90.0000,     89.999987,     90.000000,      0.036276
  0.2000, 90.0000,110.0000,    109.206588,    109.274480,      0.036276
  0.2000, 90.0000,130.0000,    128.299931,    128.548961,      0.036276
  0.2000, 90.0000,150.0000,    147.309052,    147.823441,      0.036276
  0.2000, 90.0000,170.0000,    166.253845,    167.097921,      0.036276
  0.2000,110.0000, 20.0000,     21.026566,     23.264839,      0.036276
